City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
108,callao,-12.0667,-77.15,294.66,73,100,1.03,PE,1691589070
109,mount gambier,-37.8333,140.7667,283.24,92,91,5.93,AU,1691589070
110,privolzhskiy,51.4,46.0333,301.62,41,10,2.33,RU,1691589071
111,lillesand,58.2488,8.3778,288.9,58,20,6.69,NO,1691589071
112,dunedin,-45.8742,170.5036,275.82,83,100,2.68,NZ,1691588874
113,saint-pierre,-21.3393,55.4781,296.8,73,0,9.26,RE,1691589071
114,chibougamau,49.9168,-74.3659,287.94,77,40,3.09,CA,1691589072
115,pindobacu,-10.7417,-40.3608,296.2,68,99,4.4,BR,1691589072
116,lukolela,-1.0605,17.1821,302.37,52,89,0.4,CD,1691589072
117,trairi,-3.2778,-39.2689,303.06,57,47,6.53,BR,1691589072
118,mragowo,53.8644,21.3051,290.15,41,98,4.19,PL,1691589073
119,valdivia,-39.8142,-73.2459,281.2,97,100,1.47,CL,1691588825
120,nemuro,43.3236,145.575,292.19,100,100,6.26,JP,1691589073
121,kone,-21.0595,164.8658,288.34,89,26,1.87,NC,1691589073
122,taupo,-38.6833,176.0833,278.92,86,95,2.49,NZ,1691589073
123,ribeira grande,38.5167,-28.7,298.58,83,20,7.72,PT,1691589074
124,iqaluit,63.7506,-68.5145,278.0,93,100,5.14,CA,1691588781
125,diego martin,10.7005,-61.5342,302.75,84,84,2.14,TT,1691589074
126,saujon,45.6667,-0.9167,304.27,20,0,2.82,FR,1691589074
127,belen,36.4891,36.2233,302.23,52,40,11.32,TR,1691589074
128,pratt,37.6439,-98.7376,293.49,100,0,2.57,US,1691589075
129,afaahiti,-17.75,-149.2833,294.08,72,99,7.02,PF,1691589075
130,atafu village,-8.5421,-172.5159,301.12,80,96,5.48,TK,1691589075
131,bethel,41.3712,-73.414,298.16,68,0,4.63,US,1691589075
132,kyzyl,51.7,94.45,291.87,81,100,1.33,RU,1691589075
133,kununurra,-15.7667,128.7333,292.14,59,14,0.51,AU,1691589075
134,malmberget,67.1753,20.6549,292.46,49,92,5.66,SE,1691589076
135,malanje,-9.5402,16.341,305.7,14,4,1.68,AO,1691589076
136,kamina,-8.7386,24.9906,304.7,15,0,2.61,CD,1691589076
137,tazovsky,67.4667,78.7,282.75,82,100,7.44,RU,1691589077
138,skopin,53.8249,39.5505,298.71,51,66,4.25,RU,1691589077
139,belmonte,-15.8631,-38.8828,299.15,60,18,5.02,BR,1691589077
140,antofagasta,-23.65,-70.4,289.75,67,49,2.45,CL,1691589007
141,lapai,9.05,6.5667,301.89,68,90,2.59,NG,1691589077
142,marsabit,2.3284,37.9899,298.35,38,71,7.54,KE,1691589077
143,at-bashi,41.1702,75.8106,292.16,29,14,1.64,KG,1691589078
144,padang,-0.9492,100.3543,299.18,87,94,1.68,ID,1691589078
145,howrah,22.5892,88.3103,304.15,74,75,2.57,IN,1691589078
146,taksimo,56.3444,114.8794,292.55,60,95,0.98,RU,1691589078
147,hawaiian paradise park,19.5933,-154.9731,295.39,87,0,2.06,US,1691589078
148,iskateley,67.6803,53.1512,294.46,56,32,4.75,RU,1691589079
149,palmer,42.1584,-72.3287,297.17,64,75,3.58,US,1691589079
150,totness,5.8833,-56.3167,302.52,64,41,3.54,SR,1691589079
151,hasaki,35.7333,140.8333,300.54,90,0,5.85,JP,1691589079
152,arraial do cabo,-22.9661,-42.0278,296.07,73,75,6.17,BR,1691589079
153,sur,22.5667,59.5289,308.35,46,6,5.46,OM,1691589080
154,opuwo,-18.0607,13.84,302.59,12,6,3.2,NA,1691589080
155,muisne,0.6,-80.0333,298.96,82,99,3.6,EC,1691589080
156,isafjordur,66.0755,-23.124,284.17,71,0,6.69,IS,1691589080
157,roxas,11.5853,122.7511,298.79,84,33,3.52,PH,1691589080
158,wajir,1.7471,40.0573,304.13,40,100,4.12,KE,1691589081
159,picos,-7.0769,-41.4669,305.47,35,14,4.62,BR,1691589081
160,mira,45.4358,12.1348,301.54,57,0,2.57,IT,1691589081
161,thompson,55.7435,-97.8558,282.24,87,75,3.09,CA,1691589081
162,mount isa,-20.7333,139.5,284.02,71,7,0.0,AU,1691589082
163,isiolo,0.3546,37.5822,299.85,45,51,7.56,KE,1691589082
164,fandriana,-20.2333,47.3833,288.43,78,40,3.65,MG,1691589082
165,poronaysk,49.2167,143.1167,287.17,94,100,0.55,RU,1691589082
166,katsuura,35.1333,140.3,300.11,90,0,5.89,JP,1691589082
167,constantia,44.1833,28.65,299.65,56,0,5.75,RO,1691589083
168,shunyi,40.125,116.6453,302.12,84,55,1.0,CN,1691589083
169,gadzhiyevo,69.2551,33.3362,297.9,56,3,2.2,RU,1691589083
170,tengrela,10.4869,-6.4097,305.06,52,83,3.16,CI,1691589083
171,kapuskasing,49.4169,-82.4331,289.2,94,100,2.57,CA,1691589084
172,walvis bay,-22.9575,14.5053,290.68,72,0,3.6,NA,1691589084
173,torbat-e heydariyeh,35.274,59.2195,303.69,18,78,8.96,IR,1691589084
174,pisco,-13.7,-76.2167,290.94,88,100,2.06,PE,1691589084
175,wanning,18.8003,110.3967,301.34,75,100,3.4,CN,1691589084
176,tierp,60.3427,17.5181,290.35,74,87,5.36,SE,1691589084
177,utrik,11.2278,169.8474,301.28,75,41,5.58,MH,1691589085
178,rongelap,11.1635,166.8941,300.83,78,82,3.13,MH,1691589085
179,fort-shevchenko,44.5086,50.263,303.3,52,0,4.79,KZ,1691589085
180,ola,59.5833,151.2833,285.63,68,99,3.66,RU,1691589085
181,port elizabeth,-33.918,25.5701,292.65,72,75,8.23,ZA,1691589085
182,oranjemund,-28.55,16.4333,299.77,30,0,4.63,NA,1691589086
183,georgetown,5.4112,100.3354,303.14,76,20,2.24,MY,1691588874
184,dalandzadgad,43.5708,104.425,296.45,56,100,6.69,MN,1691589086
185,tromso,69.6496,18.957,298.16,38,0,7.2,NO,1691588953
186,brisas de zicatela,15.8369,-97.0419,300.95,77,100,1.7,MX,1691589086
187,wailua homesteads,22.0669,-159.378,299.59,80,100,8.23,US,1691589087
188,karratha,-20.7377,116.8463,295.45,62,0,3.14,AU,1691589087
189,denov,38.2667,67.9,308.47,13,0,3.96,UZ,1691589087
190,ginir,7.1333,40.7,293.29,59,85,4.14,ET,1691589087
191,morant bay,17.8815,-76.4093,305.21,68,5,3.72,JM,1691589087
192,punta arenas,-53.15,-70.9167,276.99,90,100,4.26,CL,1691588935
193,pires do rio,-17.2997,-48.2794,301.12,30,0,7.27,BR,1691589088
194,weno,7.4515,151.8468,300.12,89,100,2.57,FM,1691589088
195,hanceville,34.0607,-86.7675,296.42,72,39,1.87,US,1691589088
196,garmisch-partenkirchen,47.4921,11.0958,291.34,83,100,1.39,DE,1691589088
197,hobyo,5.3505,48.5268,299.28,74,32,12.84,SO,1691589088
198,revelstoke,50.9832,-118.2023,290.16,94,100,1.03,CA,1691589089
199,bethanie,-26.4833,17.15,299.98,14,0,5.77,NA,1691589089
200,xilin hot,43.9667,116.0333,291.6,59,2,2.18,CN,1691589089
201,jiangyou,31.7667,104.7167,299.37,87,100,1.42,CN,1691589089
202,laascaanood,8.4774,47.3597,302.39,38,98,10.68,SO,1691589089
203,choyr,46.3611,108.3611,296.22,38,100,7.08,MN,1691589090
204,ternate,0.8,127.4,300.14,78,96,3.44,ID,1691589090
